prop_id,name,location,zip
B210V,Park,Dahlgreen Pl. bet. Exit 17 and Ft. Hill Pl.,11228
B210W,John J Carty Park,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,11209
B211,Lady Moody Triangle,"Village Rd. N., Ave. U bet. Van Sicklen St. and Lake St.",11223
B212,Hot Spot Tot Lot,Campus Rd. bet. E. 21 St. and Ocean Ave.,11210
B213,Gravesend Triangle,"Gravesend Neck Rd., E. 2 St., Ave. V",11223
B214,Linden Park,Vermont St. bet. Linden Blvd. and Stanley Ave.,11207
B215,Decatur Playground,"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",11233
B216,Raymond Bush Playground,Marcus Garvey Blvd. bet. Monore St. and Madison St.,11221
B217,Marcy Playground,Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,11206
B218,Paerdegat Park,"Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.",11203
B219,Callahan-Kelly Playground,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",11233
B220,Washington Hall Park,Park Ave. bet. Washington Ave. and Hall St.,11205
B221,Steuben Playground,"Flushing Ave., Steuben St., Williamsburg Pl.",11205
B222,Pierrepont Playground,"bet. Pierrepont Pl., Pierrepont St. and the BQE",11201
B223A,Dimattina Playground,"Rapelye St., Hicks St., Coles St.",11231
B223B,Dimattina Playground,Hicks St. bet. Woodhull St. and Rapelye St.,11231
B223DA,Adam Yauch Park,"Atlantic Ave., Columbia Pl., State St.",11201
B223DB,Brooklyn Heights Promenade,BQE bet. Joralemon St. and Grace Ct.,11201
B223DC,Brooklyn Heights Promenade,BQE bet. Remsen St. and Grace Ct.,11201
B223DD,Brooklyn Heights Promenade,BQE bet. Remsen St. and Montague St.,11201
B223DE,Brooklyn Heights Promenade,Montague St. bet. Montague Ter. and BQE,11201
B223DF,Brooklyn Heights Promenade,BQE at Montague St.,11201
B223DG,Brooklyn Heights Promenade,BQE bet. Clark St. and Pierrepoint St.,11201
B223DH,Brooklyn Heights Promenade,BQE bet. Clark St. and Pineapple St.,11201
B223DI,Brooklyn Heights Promenade,Pineapple St. bet. Columbia Heights and the BQE,11201
B223DJ,Brooklyn Heights Promenade,BQE bet. Pineapple St. and Orange St.,11201
B223DK,Brooklyn Heights Promenade,BQE over-hang bet. Remsen St. and Orange St.,11201
B223E,Fruit Street Sitting Area,Columbia Heights and Orange St. To Cranberry St.,11201
B223F,Squibb Park,Middagh St. between Columbia Heights & Furman St.,11201
B223G,Hillside Dog Park,"Columbia Hts., Hicks St., bet. Middagh St. and Vine St.",11201
B223H,Harry Chapin Playground,Columbia Hts. at Middagh St.,11201
B223I,Anchorage Plaza,"Fulton St., York St., Washington St. and  Prospect St.; Brooklyn Bridge",11201
B223IA,Clumber Corner,"BQE, Prospect St. bet. Washington St. and Adams St.",11201
B223IB,Bar and Grill Park,"York St., through BQE bet. Adams St. and Pearl St.",11201
B223IC,Park,Pearl St. at York St. and Manh. Bridge,11201
B223JA,Park,Jay St. bet. York St. and Prospect St.,11201
B223JB,Bridge Park,"Prospect St., York St. bet. Jay St. and Bridge St.",11201
B223JC,Bridge Park 3,"Sands St., Prospect St. bet. Bridge St. and Manh. Bridge",11201
B223K,Trinity Park,"Nassau St., Sands St. bet. Manh. Bridge and Gold St.",11201
B223MA,Arbor Place,"Tillary St., Park Ave., Navy St.",11201
B223NA,Classon Playground,"Kent Ave. to Flushing Ave., bet. Williamsburg St. W. and Classon Ave., at the BQE",11211
B223NB,Classon Triangle,"Kent Ave., Classon Ave., Wallabout St.",11211
B223NC,Penn Triangle,"Penn St., Wythe Ave., Williamsburg St. E.",11211
B223OA,Park,"Keap St., Bedford Ave., Williamsburg St. W.",11211
B223OB,Marcy Park South,Marcy Ave. bet. S. 9 St. and Division St.,11211
B223OC,Rodney Park South,"Division Ave., Rodney St., S. 9 St.",11211
B223PA,Rodney Park Center,"Broadway, Rodney St., S. 5 St.",11211
B223PB,Rodney Park North,"Rodney St., S. 4 St. and S. 5 St.",11211
B223PC,Rodney Playground South,"Rodney St., S. 3 St. and S. 4 St.",11211
