Station,Year,Month,Day,Max Temp (C),Quality
9037,1965,9,19,17.3,Y
9037,1965,9,20,16.8,Y
9037,1965,9,21,24.2,Y
9037,1965,9,22,25.5,Y
9037,1965,9,23,20.3,Y
9037,1965,9,24,22.2,Y
9037,1965,9,25,17.8,Y
9037,1965,9,26,15.8,Y
9037,1965,9,27,19.6,Y
9037,1965,9,28,23.5,Y
9037,1965,9,29,24.8,Y
9037,1965,9,30,25.4,Y
9037,1965,10,1,27.7,Y
9037,1965,10,2,22.9,Y
9037,1965,10,3,19.6,Y
9037,1965,10,4,19.8,Y
9037,1965,10,5,13.6,Y
9037,1965,10,6,16.1,Y
9037,1965,10,7,18.8,Y
9037,1965,10,8,21.1,Y
9037,1965,10,9,25.6,Y
9037,1965,10,10,30.9,Y
9037,1965,10,11,26.7,Y
9037,1965,10,12,22.4,Y
9037,1965,10,13,22.2,Y
9037,1965,10,14,20.2,Y
9037,1965,10,15,22.9,Y
9037,1965,10,16,30.4,Y
9037,1965,10,17,31.2,Y
9037,1965,10,18,26.9,Y
9037,1965,10,19,30.2,Y
9037,1965,10,20,28.4,Y
9037,1965,10,21,19.2,Y
9037,1965,10,22,21.4,Y
9037,1965,10,23,19.6,Y
9037,1965,10,24,20.7,Y
9037,1965,10,25,21.6,Y
9037,1965,10,26,24.8,Y
9037,1965,10,27,26.6,Y
9037,1965,10,28,24.2,Y
9037,1965,10,29,,
9037,1965,10,30,,
9037,1965,10,31,,
9037,1965,11,1,19.7,N
9037,1965,11,2,19.6,Y
9037,1965,11,3,21.1,Y
9037,1965,11,4,16,Y
9037,1965,11,5,17.2,Y
9037,1965,11,6,20.1,Y
9037,1965,11,7,20.1,Y
9037,1965,11,8,18.1,Y
9037,1965,11,9,20.7,Y
9037,1965,11,10,26.7,Y
9037,1965,11,11,33.5,Y
9037,1965,11,12,30.5,Y
9037,1965,11,13,22.2,Y
9037,1965,11,14,25.2,Y
9037,1965,11,15,32.2,Y
9037,1965,11,16,31.1,Y
9037,1965,11,17,23.9,Y
9037,1965,11,18,24.4,Y
9037,1965,11,19,25.1,Y
9037,1965,11,20,26.6,Y
9037,1965,11,21,27.9,Y
9037,1965,11,22,29.8,Y
9037,1965,11,23,19.4,Y
9037,1965,11,24,21.9,Y
9037,1965,11,25,28.5,Y
9037,1965,11,26,27.8,Y
9037,1965,11,27,24.4,Y
9037,1965,11,28,25,Y
9037,1965,11,29,27.9,Y
9037,1965,11,30,27.7,Y
9037,1965,12,1,21.8,Y
9037,1965,12,2,21.7,Y
9037,1965,12,3,24.9,Y
9037,1965,12,4,23.3,Y
9037,1965,12,5,24.4,Y
9037,1965,12,6,26.4,Y
9037,1965,12,7,26.1,Y
9037,1965,12,8,30.6,Y
9037,1965,12,9,34.7,Y
9037,1965,12,10,36.4,Y
9037,1965,12,11,,
9037,1965,12,12,36.7,N
9037,1965,12,13,38.3,Y
9037,1965,12,14,40,Y
9037,1965,12,15,37.1,Y
9037,1965,12,16,37.8,Y
9037,1965,12,17,36.1,Y
9037,1965,12,18,29.4,Y
9037,1965,12,19,26.7,Y
9037,1965,12,20,23.3,Y
9037,1965,12,21,25.1,Y
9037,1965,12,22,33.9,Y
9037,1965,12,23,37.8,Y
9037,1965,12,24,38.3,Y
9037,1965,12,25,38.9,Y
9037,1965,12,26,36.1,Y
9037,1965,12,27,27.8,Y
9037,1965,12,28,23.9,Y
9037,1965,12,29,22.5,Y
9037,1965,12,30,29.4,Y
9037,1965,12,31,34.4,Y
9037,1966,1,1,29.6,Y
9037,1966,1,2,28.7,Y
9037,1966,1,3,30.7,Y
9037,1966,1,4,32.8,Y
9037,1966,1,5,36.7,Y
9037,1966,1,6,40.7,Y
9037,1966,1,7,38.7,Y
9037,1966,1,8,36.1,Y
9037,1966,1,9,36.9,Y
9037,1966,1,10,38.3,Y
9037,1966,1,11,29.9,Y
9037,1966,1,12,31.7,Y
9037,1966,1,13,37.2,Y
9037,1966,1,14,25.2,Y
9037,1966,1,15,28.3,Y
9037,1966,1,16,30.3,Y
9037,1966,1,17,31.1,Y
9037,1966,1,18,34.9,Y
9037,1966,1,19,38.3,Y
9037,1966,1,20,38.6,Y
9037,1966,1,21,38.5,Y
9037,1966,1,22,32.2,Y
9037,1966,1,23,26.7,Y
9037,1966,1,24,27.8,Y
9037,1966,1,25,28.3,Y
9037,1966,1,26,27.9,Y
9037,1966,1,27,30,Y
9037,1966,1,28,33.1,Y
9037,1966,1,29,34.2,Y
9037,1966,1,30,,
9037,1966,1,31,39.1,N
9037,1966,2,1,39.8,Y
9037,1966,2,2,40,Y
9037,1966,2,3,39.7,Y
9037,1966,2,4,35.6,Y
9037,1966,2,5,40.5,Y
9037,1966,2,6,35.7,Y
9037,1966,2,7,30.2,Y
9037,1966,2,8,34.3,Y
9037,1966,2,9,,
9037,1966,2,10,,
9037,1966,2,11,,
9037,1966,2,12,,
9037,1966,2,13,,
9037,1966,2,14,,
9037,1966,2,15,,
9037,1966,2,16,,
9037,1966,2,17,,
9037,1966,2,18,,
9037,1966,2,19,,
9037,1966,2,20,,
