Station,Year,Month,Day,Max Temp (C),Quality
68228,1998,1,20,,
68228,1998,1,21,,
68228,1998,1,22,,
68228,1998,1,23,,
68228,1998,1,24,,
68228,1998,1,25,,
68228,1998,1,26,,
68228,1998,1,27,,
68228,1998,1,28,,
68228,1998,1,29,,
68228,1998,1,30,,
68228,1998,1,31,25,N
68228,1998,2,1,27,Y
68228,1998,2,2,31,Y
68228,1998,2,3,31,Y
68228,1998,2,4,26,Y
68228,1998,2,5,29,Y
68228,1998,2,6,26,Y
68228,1998,2,7,29,Y
68228,1998,2,8,27,Y
68228,1998,2,9,23,Y
68228,1998,2,10,24,Y
68228,1998,2,11,27,Y
68228,1998,2,12,29,Y
68228,1998,2,13,26,Y
68228,1998,2,14,27,Y
68228,1998,2,15,28,Y
68228,1998,2,16,32,Y
68228,1998,2,17,21,Y
68228,1998,2,18,26,Y
68228,1998,2,19,29,Y
68228,1998,2,20,33,Y
68228,1998,2,21,25,Y
68228,1998,2,22,30,Y
68228,1998,2,23,22,Y
68228,1998,2,24,25,Y
68228,1998,2,25,27,Y
68228,1998,2,26,31,Y
68228,1998,2,27,39,Y
68228,1998,2,28,21,Y
68228,1998,3,1,23,Y
68228,1998,3,2,26,Y
68228,1998,3,3,26,Y
68228,1998,3,4,30,Y
68228,1998,3,5,26,Y
68228,1998,3,6,27,Y
68228,1998,3,7,21,Y
68228,1998,3,8,21,Y
68228,1998,3,9,23,Y
68228,1998,3,10,24,Y
68228,1998,3,11,26,Y
68228,1998,3,12,27,Y
68228,1998,3,13,29,Y
68228,1998,3,14,26,Y
68228,1998,3,15,21,Y
68228,1998,3,16,24,Y
68228,1998,3,17,24,Y
68228,1998,3,18,25,Y
68228,1998,3,19,,
68228,1998,3,20,28,N
68228,1998,3,21,33,Y
68228,1998,3,22,31,Y
68228,1998,3,23,37,Y
68228,1998,3,24,24,Y
68228,1998,3,25,21,Y
68228,1998,3,26,22,Y
68228,1998,3,27,24,Y
68228,1998,3,28,27,Y
68228,1998,3,29,23,Y
68228,1998,3,30,25,Y
68228,1998,3,31,31,Y
68228,1998,4,1,22,Y
68228,1998,4,2,24,Y
68228,1998,4,3,25,Y
68228,1998,4,4,25,Y
68228,1998,4,5,28,Y
68228,1998,4,6,26,Y
68228,1998,4,7,26,Y
68228,1998,4,8,30,Y
68228,1998,4,9,20,Y
68228,1998,4,10,19,Y
68228,1998,4,11,22,Y
68228,1998,4,12,24,Y
68228,1998,4,13,27,Y
68228,1998,4,14,,
68228,1998,4,15,,
68228,1998,4,16,21,N
68228,1998,4,17,24,Y
68228,1998,4,18,,
68228,1998,4,19,23,N
68228,1998,4,20,22,Y
68228,1998,4,21,24,Y
68228,1998,4,22,19,Y
68228,1998,4,23,18,Y
68228,1998,4,24,21,Y
68228,1998,4,25,26,Y
68228,1998,4,26,21,Y
68228,1998,4,27,21,Y
68228,1998,4,28,20,Y
68228,1998,4,29,21,Y
68228,1998,4,30,24,Y
68228,1998,5,1,19,Y
68228,1998,5,2,20,Y
68228,1998,5,3,18,Y
68228,1998,5,4,20,Y
68228,1998,5,5,20,Y
68228,1998,5,6,25,Y
68228,1998,5,7,23,Y
68228,1998,5,8,18,Y
68228,1998,5,9,19,Y
68228,1998,5,10,18,Y
68228,1998,5,11,23,Y
68228,1998,5,12,22,Y
68228,1998,5,13,19,Y
68228,1998,5,14,20,Y
68228,1998,5,15,20,Y
68228,1998,5,16,20,Y
68228,1998,5,17,21,Y
68228,1998,5,18,20,Y
68228,1998,5,19,20,Y
68228,1998,5,20,28,Y
68228,1998,5,21,16,Y
68228,1998,5,22,15,Y
68228,1998,5,23,19,Y
68228,1998,5,24,,
68228,1998,5,25,,
68228,1998,5,26,18,N
68228,1998,5,27,22,Y
68228,1998,5,28,22,Y
68228,1998,5,29,22,Y
68228,1998,5,30,23,Y
68228,1998,5,31,21,Y
68228,1998,6,1,23,Y
68228,1998,6,2,17,Y
68228,1998,6,3,18,Y
68228,1998,6,4,18,Y
68228,1998,6,5,,
68228,1998,6,6,21,N
68228,1998,6,7,17,Y
68228,1998,6,8,17,Y
68228,1998,6,9,17,Y
68228,1998,6,10,17,Y
68228,1998,6,11,19,Y
68228,1998,6,12,21,Y
68228,1998,6,13,18,Y
68228,1998,6,14,17,Y
68228,1998,6,15,18,Y
68228,1998,6,16,16,Y
68228,1998,6,17,13,Y
68228,1998,6,18,16,Y
68228,1998,6,19,17,Y
68228,1998,6,20,18,Y
68228,1998,6,21,19,Y
68228,1998,6,22,16,Y
68228,1998,6,23,13,Y
68228,1998,6,24,13,Y
68228,1998,6,25,15,Y
68228,1998,6,26,16,Y
68228,1998,6,27,17,Y
68228,1998,6,28,18,Y
68228,1998,6,29,18,Y
68228,1998,6,30,15,Y
68228,1998,7,1,15,Y
68228,1998,7,2,16,Y
68228,1998,7,3,17,Y
68228,1998,7,4,17,Y
68228,1998,7,5,20,Y
68228,1998,7,6,21,Y
68228,1998,7,7,17,Y
68228,1998,7,8,18,Y
68228,1998,7,9,13,Y
68228,1998,7,10,14,Y
68228,1998,7,11,13,Y
68228,1998,7,12,15,Y
68228,1998,7,13,18,Y
68228,1998,7,14,14,Y
68228,1998,7,15,15,Y
68228,1998,7,16,15,Y
68228,1998,7,17,17,Y
68228,1998,7,18,14,Y
68228,1998,7,19,16,Y
68228,1998,7,20,17,Y
68228,1998,7,21,20,Y
68228,1998,7,22,18,Y
68228,1998,7,23,16,Y
68228,1998,7,24,15,Y
68228,1998,7,25,16,Y
68228,1998,7,26,16,Y
68228,1998,7,27,16,Y
68228,1998,7,28,15,Y
68228,1998,7,29,14,Y
68228,1998,7,30,15,Y
68228,1998,7,31,15,Y
68228,1998,8,1,16,Y
68228,1998,8,2,17,Y
68228,1998,8,3,19,Y
68228,1998,8,4,19,Y
68228,1998,8,5,16,Y
68228,1998,8,6,15,Y
68228,1998,8,7,18,Y
68228,1998,8,8,17,Y
68228,1998,8,9,15,Y
68228,1998,8,10,17,Y
68228,1998,8,11,20,Y
68228,1998,8,12,17,Y
68228,1998,8,13,17,Y
68228,1998,8,14,18,Y
68228,1998,8,15,15,Y
68228,1998,8,16,16,Y
68228,1998,8,17,15,Y
68228,1998,8,18,16,Y
68228,1998,8,19,16,Y
68228,1998,8,20,17,Y
68228,1998,8,21,19,Y
68228,1998,8,22,19,Y
68228,1998,8,23,18,Y
68228,1998,8,24,15,Y
68228,1998,8,25,16,Y
68228,1998,8,26,17,Y
68228,1998,8,27,15,Y
68228,1998,8,28,18,Y
68228,1998,8,29,18,Y
68228,1998,8,30,19,Y
68228,1998,8,31,,
68228,1998,9,1,21,N
68228,1998,9,2,21,Y
68228,1998,9,3,21,Y
68228,1998,9,4,21,Y
68228,1998,9,5,19,Y
68228,1998,9,6,16,Y
68228,1998,9,7,17,Y
68228,1998,9,8,18,Y
68228,1998,9,9,18,Y
68228,1998,9,10,19,Y
68228,1998,9,11,19,Y
68228,1998,9,12,20,Y
68228,1998,9,13,23,Y
68228,1998,9,14,20,Y
68228,1998,9,15,19,Y
68228,1998,9,16,18,Y
68228,1998,9,17,19,Y
68228,1998,9,18,23,Y
68228,1998,9,19,26,Y
68228,1998,9,20,18,Y
68228,1998,9,21,20,Y
68228,1998,9,22,21,Y
68228,1998,9,23,25,Y
68228,1998,9,24,18,Y
68228,1998,9,25,16,Y
68228,1998,9,26,19,Y
68228,1998,9,27,20,Y
68228,1998,9,28,25,Y
68228,1998,9,29,28,Y
68228,1998,9,30,24,Y
68228,1998,10,1,32,Y
68228,1998,10,2,32,Y
68228,1998,10,3,32,Y
68228,1998,10,4,21,Y
68228,1998,10,5,24,Y
68228,1998,10,6,26,Y
68228,1998,10,7,19,Y
68228,1998,10,8,15,Y
68228,1998,10,9,17,Y
68228,1998,10,10,17,Y
68228,1998,10,11,18,Y
68228,1998,10,12,21,Y
68228,1998,10,13,26,Y
68228,1998,10,14,21,Y
68228,1998,10,15,22,Y
68228,1998,10,16,20,Y
68228,1998,10,17,26,Y
