Station,Year,Month,Day,MaxTemp (C),Quality
70339,2017,1,30,38.4,Y
70339,2017,1,31,34.2,Y
70339,2017,2,1,25.7,N
70339,2017,2,2,29.7,N
70339,2017,2,3,30.9,N
70339,2017,2,4,33,N
70339,2017,2,5,36.1,N
70339,2017,2,6,32,N
70339,2017,2,7,23.5,N
70339,2017,2,8,23.5,N
70339,2017,2,9,36.3,N
70339,2017,2,10,41.1,N
70339,2017,2,11,40.9,N
70339,2017,2,12,31.3,N
70339,2017,2,13,26.9,N
70339,2017,2,14,27.4,N
70339,2017,2,15,29.3,N
70339,2017,2,16,34,N
70339,2017,2,17,35.2,N
70339,2017,2,18,21.7,N
70339,2017,2,19,22.4,N
70339,2017,2,20,21.6,N
70339,2017,2,21,26.6,N
70339,2017,2,22,31.7,N
70339,2017,2,23,35,N
70339,2017,2,24,33.2,N
70339,2017,2,25,21.2,N
70339,2017,2,26,24.6,N
70339,2017,2,27,26.5,N
70339,2017,2,28,27.9,N
70339,2017,3,1,29.5,N
70339,2017,3,2,28.2,N
70339,2017,3,3,27.1,N
70339,2017,3,4,23,N
70339,2017,3,5,26.4,N
70339,2017,3,6,25,N
70339,2017,3,7,24.5,N
70339,2017,3,8,21,N
70339,2017,3,9,24.2,N
70339,2017,3,10,28.4,N
70339,2017,3,11,29.6,N
70339,2017,3,12,31.6,N
70339,2017,3,13,26,N
70339,2017,3,14,24,N
70339,2017,3,15,24.9,N
70339,2017,3,16,27.7,N
70339,2017,3,17,23,N
70339,2017,3,18,23.9,N
70339,2017,3,19,26.5,N
70339,2017,3,20,30.6,N
70339,2017,3,21,22,N
70339,2017,3,22,27,N
70339,2017,3,23,20.2,N
70339,2017,3,24,21.3,N
70339,2017,3,25,19.5,N
70339,2017,3,26,28.2,N
70339,2017,3,27,29.8,N
70339,2017,3,28,27.1,N
70339,2017,3,29,27.6,N
70339,2017,3,30,21.9,N
70339,2017,3,31,20.4,N
70339,2017,4,1,21.9,Y
70339,2017,4,2,19.2,Y
70339,2017,4,3,17.7,Y
70339,2017,4,4,18.7,Y
70339,2017,4,5,19.8,Y
70339,2017,4,6,21.4,Y
70339,2017,4,7,21.2,Y
70339,2017,4,8,22,Y
70339,2017,4,9,16,Y
70339,2017,4,10,14.6,Y
70339,2017,4,11,19.1,Y
70339,2017,4,12,20.4,Y
70339,2017,4,13,19.8,Y
70339,2017,4,14,22.8,Y
70339,2017,4,15,19.9,Y
70339,2017,4,16,20.8,Y
70339,2017,4,17,22.2,Y
70339,2017,4,18,24.2,Y
70339,2017,4,19,21.6,Y
70339,2017,4,20,22.1,Y
70339,2017,4,21,19.6,Y
70339,2017,4,22,21.5,Y
70339,2017,4,23,22.3,Y
70339,2017,4,24,21.7,Y
70339,2017,4,25,16.5,Y
70339,2017,4,26,14.1,Y
70339,2017,4,27,13.6,Y
70339,2017,4,28,16.7,Y
70339,2017,4,29,17.5,Y
70339,2017,4,30,18.7,Y
70339,2017,5,1,19.5,Y
70339,2017,5,2,16,Y
70339,2017,5,3,15.6,Y
70339,2017,5,4,17.5,Y
70339,2017,5,5,18.4,Y
70339,2017,5,6,17,Y
70339,2017,5,7,15.7,Y
70339,2017,5,8,14.5,Y
70339,2017,5,9,17.5,Y
70339,2017,5,10,18.1,Y
70339,2017,5,11,18.9,Y
70339,2017,5,12,15.8,Y
70339,2017,5,13,18.9,Y
70339,2017,5,14,14.4,Y
70339,2017,5,15,16.4,Y
70339,2017,5,16,16.6,Y
70339,2017,5,17,16.8,Y
70339,2017,5,18,18.7,Y
70339,2017,5,19,15.3,Y
70339,2017,5,20,18.2,Y
70339,2017,5,21,17,Y
70339,2017,5,22,18.1,Y
70339,2017,5,23,17.7,Y
70339,2017,5,24,16.1,Y
70339,2017,5,25,11.3,Y
70339,2017,5,26,15.2,Y
70339,2017,5,27,15.6,Y
70339,2017,5,28,13.7,Y
70339,2017,5,29,12.4,Y
70339,2017,5,30,13.3,Y
70339,2017,5,31,10.7,Y
70339,2017,6,1,13.2,Y
70339,2017,6,2,12.3,Y
70339,2017,6,3,14.9,Y
70339,2017,6,4,14.2,Y
70339,2017,6,5,12.6,Y
70339,2017,6,6,11.9,Y
70339,2017,6,7,12.5,Y
70339,2017,6,8,16.9,Y
70339,2017,6,9,13.6,Y
70339,2017,6,10,13.5,Y
70339,2017,6,11,15.4,Y
70339,2017,6,12,15,Y
70339,2017,6,13,15.5,Y
70339,2017,6,14,14.9,Y
70339,2017,6,15,10.7,Y
70339,2017,6,16,11.2,Y
70339,2017,6,17,13,Y
70339,2017,6,18,14.5,Y
70339,2017,6,19,15.3,Y
70339,2017,6,20,11,Y
70339,2017,6,21,15.1,Y
70339,2017,6,22,14,Y
70339,2017,6,23,13.4,Y
70339,2017,6,24,14.5,Y
70339,2017,6,25,14.4,Y
70339,2017,6,26,13.7,Y
70339,2017,6,27,11.7,Y
70339,2017,6,28,12.3,Y
70339,2017,6,29,9,Y
70339,2017,6,30,11.2,Y
70339,2017,7,1,12,Y
70339,2017,7,2,13.4,Y
70339,2017,7,3,9.8,Y
70339,2017,7,4,13.1,Y
70339,2017,7,5,12.3,Y
70339,2017,7,6,13.3,Y
70339,2017,7,7,12.2,Y
70339,2017,7,8,11.6,Y
70339,2017,7,9,9.6,Y
70339,2017,7,10,11.9,Y
70339,2017,7,11,13.4,Y
70339,2017,7,12,12.2,Y
70339,2017,7,13,12.7,Y
70339,2017,7,14,13.9,Y
70339,2017,7,15,10.8,Y
70339,2017,7,16,10.2,Y
70339,2017,7,17,13.7,Y
70339,2017,7,18,13.1,Y
70339,2017,7,19,13.5,Y
70339,2017,7,20,11.5,Y
70339,2017,7,21,12,Y
70339,2017,7,22,13,Y
70339,2017,7,23,16.5,Y
70339,2017,7,24,14.6,Y
70339,2017,7,25,15.2,Y
70339,2017,7,26,13.5,Y
70339,2017,7,27,11.7,Y
70339,2017,7,28,14.1,Y
70339,2017,7,29,14.1,Y
70339,2017,7,30,15.8,Y
70339,2017,7,31,8.6,Y
70339,2017,8,1,13.1,N
70339,2017,8,2,12.8,N
70339,2017,8,3,11.9,N
70339,2017,8,4,11.4,N
70339,2017,8,5,10.2,N
70339,2017,8,6,13.2,N
70339,2017,8,7,9.4,N
70339,2017,8,8,13.8,N
70339,2017,8,9,,
70339,2017,8,10,17.1,N
70339,2017,8,11,15.3,N
70339,2017,8,12,14.8,N
70339,2017,8,13,16.6,N
70339,2017,8,14,18.9,N
70339,2017,8,15,17.6,N
70339,2017,8,16,13.8,N
70339,2017,8,17,14.2,N
70339,2017,8,18,10.5,N
70339,2017,8,19,10.6,N
70339,2017,8,20,12.9,N
70339,2017,8,21,11.8,N
70339,2017,8,22,16.2,N
70339,2017,8,23,16.2,N
70339,2017,8,24,12.9,N
70339,2017,8,25,14.7,N
70339,2017,8,26,15.9,N
70339,2017,8,27,10.1,N
70339,2017,8,28,11.6,N
70339,2017,8,29,12.5,N
70339,2017,8,30,14.3,N
70339,2017,8,31,13.2,N
70339,2017,9,1,15.1,Y
70339,2017,9,2,18.1,Y
70339,2017,9,3,21.4,Y
70339,2017,9,4,12,Y
70339,2017,9,5,9.3,Y
70339,2017,9,6,10.8,Y
70339,2017,9,7,13.6,Y
70339,2017,9,8,13.7,Y
70339,2017,9,9,14.4,Y
70339,2017,9,10,16.6,Y
70339,2017,9,11,19.6,Y
70339,2017,9,12,23.3,Y
70339,2017,9,13,21.3,Y
70339,2017,9,14,12.3,Y
70339,2017,9,15,14.2,Y
70339,2017,9,16,14.9,Y
70339,2017,9,17,16.5,Y
70339,2017,9,18,20,Y
70339,2017,9,19,14.6,Y
70339,2017,9,20,17.5,Y
70339,2017,9,21,23.2,Y
70339,2017,9,22,24.8,Y
70339,2017,9,23,29.4,Y
70339,2017,9,24,20,Y
70339,2017,9,25,16.8,Y
70339,2017,9,26,19.4,Y
70339,2017,9,27,23.8,Y
70339,2017,9,28,20.3,Y
70339,2017,9,29,18.9,Y
70339,2017,9,30,17.6,Y
70339,2017,10,1,20.7,Y
70339,2017,10,2,21.5,Y
70339,2017,10,3,24.8,Y
70339,2017,10,4,25.1,Y
70339,2017,10,5,24.6,Y
70339,2017,10,6,21,Y
70339,2017,10,7,20.8,Y
70339,2017,10,8,19.9,Y
70339,2017,10,9,22.7,Y
70339,2017,10,10,22.3,Y
70339,2017,10,11,24.8,Y
70339,2017,10,12,19.8,Y
70339,2017,10,13,22.1,Y
70339,2017,10,14,17.7,Y
70339,2017,10,15,23.9,Y
70339,2017,10,16,24.9,Y
70339,2017,10,17,27.2,Y
70339,2017,10,18,27,Y
70339,2017,10,19,25,Y
70339,2017,10,20,19.8,Y
70339,2017,10,21,19.6,Y
70339,2017,10,22,18,Y
70339,2017,10,23,22.2,Y
70339,2017,10,24,23.1,Y
70339,2017,10,25,25.9,Y
70339,2017,10,26,22.7,Y
70339,2017,10,27,22.3,Y
70339,2017,10,28,25.6,Y
70339,2017,10,29,25.3,Y
70339,2017,10,30,21.8,Y
70339,2017,10,31,17.3,Y
70339,2017,11,1,21.9,Y
70339,2017,11,2,22.4,Y
70339,2017,11,3,19.6,Y
70339,2017,11,4,21.2,Y
70339,2017,11,5,20.1,Y
70339,2017,11,6,14.3,Y
70339,2017,11,7,19.3,Y
70339,2017,11,8,21,Y
70339,2017,11,9,25.5,Y
70339,2017,11,10,25.3,Y
70339,2017,11,11,22.7,Y
70339,2017,11,12,21.8,Y
70339,2017,11,13,21.7,Y
70339,2017,11,14,25.7,Y
70339,2017,11,15,27.5,Y
70339,2017,11,16,19.3,Y
70339,2017,11,17,23.8,Y
70339,2017,11,18,18.2,Y
70339,2017,11,19,23.5,Y
70339,2017,11,20,25.1,Y
70339,2017,11,21,25.9,Y
70339,2017,11,22,26.1,Y
70339,2017,11,23,26.2,Y
70339,2017,11,24,28.8,Y
70339,2017,11,25,30,Y
70339,2017,11,26,25,Y
70339,2017,11,27,26.1,Y
70339,2017,11,28,27.3,Y
70339,2017,11,29,28.3,Y
70339,2017,11,30,29.3,Y
70339,2017,12,1,29,N
70339,2017,12,2,19,N
70339,2017,12,3,19.9,N
70339,2017,12,4,14.7,N
70339,2017,12,5,19.4,N
70339,2017,12,6,21.2,N
70339,2017,12,7,26.2,N
70339,2017,12,8,22.7,N
70339,2017,12,9,24.9,N
70339,2017,12,10,28,N
70339,2017,12,11,29.4,N
70339,2017,12,12,30.5,N
70339,2017,12,13,32.1,N
70339,2017,12,14,32.1,N
70339,2017,12,15,29.2,N
70339,2017,12,16,32.2,N
70339,2017,12,17,31.4,N
70339,2017,12,18,32.7,N
70339,2017,12,19,33.7,N
70339,2017,12,20,26.9,N
70339,2017,12,21,26.6,N
70339,2017,12,22,29.2,N
70339,2017,12,23,31.4,N
70339,2017,12,24,33.5,N
70339,2017,12,25,21.7,N
70339,2017,12,26,22.5,N
70339,2017,12,27,29.1,N
70339,2017,12,28,31.4,N
70339,2017,12,29,31.5,N
70339,2017,12,30,28.3,N
70339,2017,12,31,27.5,N
70339,2018,1,1,30,Y
70339,2018,1,2,29.6,Y
70339,2018,1,3,26.4,Y
70339,2018,1,4,29.6,Y
70339,2018,1,5,33.3,Y
70339,2018,1,6,36.5,Y
70339,2018,1,7,39.4,Y
70339,2018,1,8,31.4,Y
70339,2018,1,9,30.7,Y
70339,2018,1,10,26.3,Y
70339,2018,1,11,31.5,Y
70339,2018,1,12,34,Y
70339,2018,1,13,24.2,Y
70339,2018,1,14,20.8,Y
70339,2018,1,15,25.9,Y
70339,2018,1,16,24.8,Y
70339,2018,1,17,29.7,Y
70339,2018,1,18,33.9,Y
70339,2018,1,19,37.9,Y
